"Any","Trimestre","Codi_Districte","Nom_Districte","Codi_Barri","Nom_Barri","Lloguer_mitja","Preu"
2015,"1",1,"Ciutat Vella",1,"el Raval","Lloguer mitjÃ  mensual (Euros/mes)",601.31
2015,"1",1,"Ciutat Vella",2,"el Barri GÃ²tic","Lloguer mitjÃ  mensual (Euros/mes)",756.68
2015,"1",1,"Ciutat Vella",3,"la Barceloneta","Lloguer mitjÃ  mensual (Euros/mes)",581.34
2015,"1",1,"Ciutat Vella",4,"Sant Pere, Santa Caterina i la Ribera","Lloguer mitjÃ  mensual (Euros/mes)",697.16
2015,"1",2,"Eixample",5,"el Fort Pienc","Lloguer mitjÃ  mensual (Euros/mes)",753.76
2015,"1",2,"Eixample",6,"la Sagrada FamÃ­lia","Lloguer mitjÃ  mensual (Euros/mes)",679.03
2015,"1",2,"Eixample",7,"la Dreta de l'Eixample","Lloguer mitjÃ  mensual (Euros/mes)",957.55
2015,"1",2,"Eixample",8,"l'Antiga Esquerra de l'Eixample","Lloguer mitjÃ  mensual (Euros/mes)",859.64
2015,"1",2,"Eixample",9,"la Nova Esquerra de l'Eixample","Lloguer mitjÃ  mensual (Euros/mes)",766.18
2015,"1",2,"Eixample",10,"Sant Antoni","Lloguer mitjÃ  mensual (Euros/mes)",740.41
2015,"1",3,"Sants-MontjuÃ¯c",11,"el Poble Sec","Lloguer mitjÃ  mensual (Euros/mes)",578.76
2015,"1",3,"Sants-MontjuÃ¯c",12,"la Marina del Prat Vermell","Lloguer mitjÃ  mensual (Euros/mes)",NA
2015,"1",3,"Sants-MontjuÃ¯c",13,"la Marina de Port","Lloguer mitjÃ  mensual (Euros/mes)",492.49
2015,"1",3,"Sants-MontjuÃ¯c",14,"la Font de la Guatlla","Lloguer mitjÃ  mensual (Euros/mes)",728.25
2015,"1",3,"Sants-MontjuÃ¯c",15,"Hostafrancs","Lloguer mitjÃ  mensual (Euros/mes)",614.15
2015,"1",3,"Sants-MontjuÃ¯c",16,"la Bordeta","Lloguer mitjÃ  mensual (Euros/mes)",621.71
