Year,Codi_Barri,Preu,PreuM2,Codi_Districte,Nom_Districte,Nom_Barri,id
2014,1,597.0,597.0,1,Ciutat Vella,el Raval,0
2014,2,790.74,790.74,1,Ciutat Vella,el Barri Gótic,1
2014,3,593.73,593.73,1,Ciutat Vella,la Barceloneta,2
2014,4,699.1,699.1,1,Ciutat Vella,"Sant Pere, Santa Caterina i la Ribera",3
2014,5,736.09,736.09,2,Eixample,el Fort Pienc,4
2014,6,697.69,697.69,2,Eixample,la Sagrada Família,5
2014,7,975.96,975.96,2,Eixample,la Dreta de l'Eixample,6
2014,8,869.72,869.72,2,Eixample,l'Antiga Esquerra de l'Eixample,7
2014,9,753.61,753.61,2,Eixample,la Nova Esquerra de l'Eixample,8
2014,10,720.14,720.14,2,Eixample,Sant Antoni,9
2014,11,602.55,602.55,3,Sants-Montjuïc,el Poble Sec,10
2014,12,0.0,0.0,3,Sants-Montjuïc,la Marina del Prat Vermell,11
2014,13,574.45,574.45,3,Sants-Montjuïc,la Marina de Port,12
2014,14,679.58,679.58,3,Sants-Montjuïc,la Font de la Guatlla,13
2014,15,605.58,605.58,3,Sants-Montjuïc,Hostafrancs,14
2014,16,621.68,621.68,3,Sants-Montjuïc,la Bordeta,15
2014,17,629.58,629.58,3,Sants-Montjuïc,Sants - Badal,16
2014,18,647.14,647.14,3,Sants-Montjuïc,Sants,17
2014,19,802.23,802.23,4,Les Corts,les Corts,18
2014,20,806.43,806.43,4,Les Corts,la Maternitat i Sant Ramon,19
2014,21,1762.06,1762.06,4,Les Corts,Pedralbes,20
2014,22,1754.44,1754.44,5,Sarrià-Sant Gervasi,"Vallvidrera, el Tibidabo i les Planes",21
2014,23,1081.14,1081.14,5,Sarrià-Sant Gervasi,Sarrià,22
2014,24,1386.13,1386.13,5,Sarrià-Sant Gervasi,les Tres Torres,23
2014,25,963.57,963.57,5,Sarrià-Sant Gervasi,Sant Gervasi - la Bonanova,24
2014,26,1078.84,1078.84,5,Sarrià-Sant Gervasi,Sant Gervasi - Galvany,25
2014,27,766.33,766.33,5,Sarrià-Sant Gervasi,el Putxet i el Farrï,26
2014,28,691.94,691.94,6,Gràcia,Vallcarca i els Penitents,27
2014,29,583.93,583.93,6,Gràcia,el Coll,28
2014,30,702.33,702.33,6,Gràcia,la Salut,29
2014,31,691.69,691.69,6,Gràcia,la Vila de Gràcia,30
2014,32,711.14,711.14,6,Gràcia,el Camp d'en Grassot i Gràcia Nova,31
2014,33,638.55,638.55,7,Horta-Guinardï,el Baix Guinardï,32
2014,34,568.94,568.94,7,Horta-Guinardï,Can Barï,33
2014,35,590.31,590.31,7,Horta-Guinardï,el Guinardï,34
2014,36,784.44,784.44,7,Horta-Guinardï,la Font d'en Fargues,35
2014,37,506.26,506.26,7,Horta-Guinardï,el Carmel,36
2014,38,506.77,506.77,7,Horta-Guinardï,la Teixonera,37
2014,39,568.75,568.75,7,Horta-Guinardï,Sant Genís dels Agudells,38
2014,40,578.5,578.5,7,Horta-Guinardï,Montbau,39
2014,41,737.73,737.73,7,Horta-Guinardï,la Vall d'Hebron,40
2014,42,0.0,0.0,7,Horta-Guinardï,la Clota,41
2014,43,585.58,585.58,7,Horta-Guinardï,Horta,42
2014,44,579.11,579.11,8,Nou Barris,Vilapicina i la Torre Llobeta,43
2014,45,552.56,552.56,8,Nou Barris,Porta,44
2014,46,501.06,501.06,8,Nou Barris,el Turï de la Peira,45
2014,47,295.39,295.39,8,Nou Barris,Can Peguera,46
2014,48,620.83,620.83,8,Nou Barris,la Guineueta,47
2014,49,566.36,566.36,8,Nou Barris,Canyelles,48
2014,50,461.28,461.28,8,Nou Barris,les Roquetes,49
